Implementation Element,Process,Source of Funding,Timeframe,Affordable Units Created/Preserved (est.),Initial Cost,Annual Cost,Source of Return,Anticipated 10-Year Return
Create Rockland Affordable Housing Trust Fund,City Council,General Fund (existing staff),Short,,$0 ,"$10,000 ",N/A,$0 
Inventory City-Owned Land and Offer Unused Land for Affordable Housing ,Staff/Council,General Fund (existing staff),Short,25,"$10,000 ",$0 ,New Investment in Parcels,"$1,500,000 "
Create Inclusionary Zoning Ordinance,City Council,General Fund (existing staff),Short,10,$0 ,"$5,000 ",Fee in Lieu to AHTF,"$450,000 "
Create Expiring Use Retention Fund,City Council,Housing Bond,Short,25,"$500,000 ",$0 ,N/A,$0 
Fund Rockland AHTF,Bond via Council,Housing Bond,Medium,10,"$250,000 ","$100,000 ",New Investment in Parcels,"$1,050,000 "
Create First Time Homebuyer Down Payment Program,City Council,Housing Bond,Medium,10,"$250,000 ","$100,000 ",Increased Property Values,"$100,000 "
Offer Bond Funding as part of Affordable Housing Development Capital Stacks,City Council,Housing Bond,Medium,50,"$500,000 ","$200,000 ",New Investment in Parcels,"$3,000,000 "
Continue Land Use Code changes,Staff/Council,N/A,Medium,10,$0 ,$0 ,Increased housing production,"$200,000 "
Create a Rental Registration Program,Staff/Council,Registration Fees,Medium,0,"$10,000 ","$15,000 ",Registration Fees,"$150,000 "
Create an Affordable Housing Rehabilitation program,Staff/Council,Housing Bond,Medium,20,"$150,000 ","$40,000 ",Stabilized property taxes,"$200,000 "
Provide fee reductions for affordable housing,City Council,General Fund (existing staff),Short,0,$0 ,"$5,000 ",N/A,$0 
TOTAL,,,,160,"$1,670,000 ","$475,000 ",TOTAL RETURN,"$6,650,000 "
,,,,,,,TOTAL COSTS,"$5,945,000 "
,,,,,,,COSTS PER UNIT,"$37,156 "
,,,,,,,NET RETURN,"$705,000 "
,,,,,,,BOND EXPENSES,"$5,610,000 "